response_id,time,regularly_play,total_hours_played
R_29sTVuZYJRxiKzv,after,yes,21
R_2CTWdkSw6ViCuJq,before,yes,14.000000000000002
R_2CTWdkSw6ViCuJq,after,yes,32
R_111rjgTikYEbPtb,before,yes,20
R_111rjgTikYEbPtb,after,yes,80
R_2zUqq1urUzBGq6C,before,yes,24
R_2zUqq1urUzBGq6C,after,yes,24
R_pJBqW9a6blfxMnn,before,yes,11.999999999999998
R_pJBqW9a6blfxMnn,after,yes,35
R_2aM58IL6PRjl31M,before,yes,27.000000000000004
R_2aM58IL6PRjl31M,after,yes,55
R_BSsMj7rx2Tnixot,before,yes,27
R_BSsMj7rx2Tnixot,after,yes,25
R_2SeikFcu2AS9w7X,before,yes,20
R_2SeikFcu2AS9w7X,after,yes,22
R_SOViMCN9d7ybO8h,before,yes,20
R_SOViMCN9d7ybO8h,after,yes,60
R_3M4IeaDW99mC9dK,before,yes,30
R_3M4IeaDW99mC9dK,after,yes,43
R_3hEAA1sGTLuhlZP,before,yes,21
R_3hEAA1sGTLuhlZP,after,yes,40
R_1Ka3YhFFxRPhu6A,before,yes,30
R_1Ka3YhFFxRPhu6A,after,yes,70
R_1jptKS7BPpIT1cD,before,yes,30
R_1jptKS7BPpIT1cD,after,yes,30
R_2trlnajiLWtBHVS,before,yes,5
R_2trlnajiLWtBHVS,after,yes,16
R_3JecnAA27cFGR9J,before,yes,16
R_3JecnAA27cFGR9J,after,yes,30
R_2yrXHzzzgNeI0Ry,before,yes,60
R_2yrXHzzzgNeI0Ry,after,yes,70
R_2R97eLv3ogd7F2s,before,yes,40
R_2R97eLv3ogd7F2s,after,yes,40
R_31LSyq6W3sTmpY5,before,yes,40
R_31LSyq6W3sTmpY5,after,yes,50
R_2SH3IlYMix1JYmN,before,yes,2
R_2SH3IlYMix1JYmN,after,yes,10
R_1jkddLsj0iUCBlG,before,yes,6
R_1jkddLsj0iUCBlG,after,yes,18
R_UtoTopbBz0tqPqp,before,yes,30
R_UtoTopbBz0tqPqp,after,yes,70
R_ZmHvxJewc1RDEfT,before,yes,25
R_ZmHvxJewc1RDEfT,after,yes,55
